Market Options 6 7 2020,,,,,,,
Symbol,Company Name,Last,Volume,Trades,Exercise Price,% Chg. (Close),+/- Chg. (Close)
MQGN98,MACQ GROUP DEC-20C14,2.795,10,1,144,0,2.795
MQG8X8,MACQ GROUP SEP-20C15,0.305,34,1,154,0,0.305
MQGLL7,MACQ GROUP AUG-20C12,2.93,10,1,128,0,0
MQGLN7,MACQ GROUP AUG-20C13,2.185,28,3,130,0,0
MQGLX7,MACQ GROUP AUG-20C13,1.7,19,2,134,0,0
MQGGU7,MACQ GROUP JUL-20C12,0.8,50,1,128,0,0
MQGJ59,MACQ GROUP JUL-20C12,1.5,40,1,128.01,0,0
MQGJR7,MACQ GROUP JUL-20C13,0.66,100,1,132.01,0,0
MQGKZ7,MACQ GROUP JUL-20P13,15.7,150,6,138.01,0,15.7
MQGLA7,MACQ GROUP DEC-20P14,23.2,1,1,144.01,0,23.2
MQGLH7,MACQ GROUP JUL-20C12,0.85,150,2,126,0,0
MQGP59,MACQ GROUP JUL-20P11,1.8,400,3,110.01,0,0
MQGNW7,MACQ GROUP JUL-20P12,3.3,20,1,124,0,3.3
MQGNY7,MACQ GROUP AUG-20P12,4.9,2,1,120,0,0
MQGR57,MACQ GROUP JUL-20P11,0.7,174,4,112,0,0
MQGR77,MACQ GROUP JUL-20P11,1.8,60,2,114,0,0
MQGR99,MACQ GROUP SEP-20P12,6.6,1,1,124,0,6.6
MQGRI7,MACQ GROUP AUG-20P11,3.78,2,1,110,0,0
CSLI17,CSL        JUL-20P29,14,15,1,292.01,0,0
CSLI68,CSL        AUG-20P28,13.65,15,1,286.01,0,0
CSL0N9,CSL        OCT-20C30,15.25,4,2,300,0,15.25
CSL8K7,CSL        AUG-20C34,1.1,1,1,342,0,0
CSL9G8,CSL        OCT-20P29,20.23,2,1,292,0,20.23
CSLEJ7,CSL        JUL-20C31,1,4,1,310,0,0
CSLWW8,CSL        JUL-20P27,0.7,15,1,270,0,0
CSLY38,CSL        AUG-20P26,12.82,15,1,268,0,0
CSLYB8,CSL        AUG-20P27,10.05,10,1,276,0,0
CSLSU8,CSL        AUG-20C29,14.6,10,1,294,0,0
FMGEN9,FORTESCUE  JUL-20C11,2.7,38,1,11.26,0,0
FMGF47,FORTESCUE  JUL-20C13,1.2,5,1,13,0,0
FLTI57,FLIGHT CTR AUG-20P12,1.785,1,1,12.82,0,0
FLTYU7,FLIGHT CTR OCT-20C12,1.285,20,2,12.25,0,1.285
FMG1J7,FORTESCUE  DEC-22C13,2.265,2,1,13.5,0,2.265
FLTCX7,FLIGHT CTR SEP-20C13,0.75,10,1,13.67,0,0.75
FLTEJ7,FLIGHT CTR JUL-20P13,2.65,1,1,13.24,0,0
CWNG37,CROWN      SEP-20C12,0.1,25,1,12.76,0,0
CWNG88,CROWN      MAR-21C11,0.34,25,1,11.51,0,0
EM1O,EMERGEGAM  OPT APR21,0.006,50000,1,0.02,0,0
CIMY98,CIMIC      DEC-20P21,1.57,10,1,21,0,1.57
